COD_EMPRESA;NOME_EMPRESA;COD_TAB_PRECO;NOME_TAB_PRECO;DT_VIGOR;PRECO;TIPO;COD_PRODUTO;DESCRICAO;MARCA;COD_FORNECEDOR;NOME_FORNECEDOR;COD_ITEM_NBS;PARTNUMBER;MARGEM;DESP_VARIAVEL;TIPO_PRECIFICACAO;NIVEL_MARGEM;GRUPO_DESCONTO;ESTOQUE;CUSTO_MEDIO;VALOR_ESTOQUE;CUSTO_OPE;PIS_COFINS;ICMS
7;SA;7001;SALVADOR-BA-BASE;11/02/2021;89,67255474;Valor;2832;RETENTOR VOLANTE MOTOR MWM SPRINT 0002832;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;062103051.0;940788560014E;;;Não Atualiza Preço na Entrada;;MWM1;15;41,104;616,56;40,9681;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;100,47;Valor;3158;RETENTOR VOLANTE MOTOR MWM X10/ X12 0003158;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE103209.0;961258560034E;;;Não Atualiza Preço na Entrada;;MWM1;61;50,4806;3079,3166;49,7039;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;312,9;Valor;647;ROLAMENTO  SUP. VENTILADOR F1000/4000 M4 0000647;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TNM903157.0;903260100005E;;;Não Atualiza Preço na Entrada;;MWM1;11;144,385;1588,235;144,385;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;12,87;Valor;4330;SEDE VALVULA ESCAPE MOTOR MWM D/TD229 0004330;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T12109431A.1;MUDOU1: 922903450053E;;;Não Atualiza Preço na Entrada;;MWM1;7;5,8905;41,2335;5,8905;9,25;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;12,87;Valor;57939;SEDE VALVULA ESCAPE MOTOR MWM D/TD229 0057939;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T12109431A.2;922903450053E;;;;;;36;6,9003;248,4108;6,9003;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;50,06;Valor;1044;SEDE VALVULA ESCAPE MOTOR MWM SPRINT 0001044;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0101239.0;940703450053E;;;Não Atualiza Preço na Entrada;;MWM1;7;18,2565;127,7955;18,2565;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;13,89;Valor;1418;SEDE VALVULA ESCAPE MOTOR MWM X10 0001418;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RD109431.0;961003450063E;;;Não Atualiza Preço na Entrada;;MWM1;83;7,3533;610,3239;7,3937;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;54,35;Valor;3085;SEDE VALVULA ESCAPE MOTOR MWM X12TCE 0003085;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0101239.0;961203450013E;;;Não Atualiza Preço na Entrada;;MWM1;26;29,4659;766,1134;29,4659;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;20,02;Valor;1836;SEDE VALVULA ADMISSAO MOROR MWM SPRINT 0001836;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0101451.0;940703450043E;;;Não Atualiza Preço na Entrada;;MWM1;10;6,09;60,9;6,09;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;11,44;Valor;514;SEDE VALVULA ADMISSAO MOTOR MWM D229 0000514;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RG109429.0;922903450063E;;;Não Atualiza Preço na Entrada;;MWM1;42;6,0664;254,7888;6,0922;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;11,68;Valor;3099;SEDE VALVULA ADMISSAO MOTOR MWM TD229 0003099;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RB109429.0;922903450083E;;;Não Atualiza Preço na Entrada;;MWM1;31;5,9567;184,6577;5,9567;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;15,83;Valor;2827;SEDE VALVULA ADMISSAO MOTOR MWM X10 0002827;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RD109429.0;961003450073E;;;;;MWM1;7;8,1791;57,2537;8,1791;;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;15,83;Valor;76374;SEDE VALVULA ADMISSAO MOTOR MWM X10 0076374;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RD109429.2;961003450073E;;;;;;59;8,4736;499,9424;8,4327;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;390;Valor;3326;SENSOR FASE MOTOR MWM ACTEON X12TCE 0003326;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0906433C.3;961200670024E;;;;;MWM1;45;179,0761;8058,4245;178,6975;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;392,03;Valor;4219;SENSOR FASE 0004219;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;020742884.2;7004041C1E;;;Não Atualiza Preço na Entrada;;MWM1;3;195,7136;587,1408;195,7136;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;75,8;Valor;2235;SEDE VALVULA ADMISSAO MOTOR MWM X12TCE 0002235;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2S2101451.2;7003222C1E;;;;;MWM1;2;31,2414;62,4828;31,2414;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;75,8;Valor;20402;SEDE VALVULA ADMISSAO MOTOR MWM X12TCE 0020402;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2S2101451.1;7003222C1E;;;Não Atualiza Preço na Entrada;;MWM1;34;40,5182;1377,6188;40,3472;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;182,79;Valor;1837;ROLAMENTO VOLANTE MOTOR MWM X10/X12/ SPRINT 0001837;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0105313.0;960703390014E;;;Não Atualiza Preço na Entrada;;MWM1;21;84,5588;1775,7348;83,6326;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;301,01;Valor;442;SUPORTE BALANCIM 0000442;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;021763746.0;7001992C91E;;;Não Atualiza Preço na Entrada;;MWM1;6;87,3367;524,0202;87,3367;;
7;SA;;;;;;57042;SOLENOIDE MOTOR PARTIDA PRESTOLIT D229 0057042;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS90329.0;;;;;;;1;102,71;102,71;102,71;9,25;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;1036,88;Valor;4347;SOLENOIDE 12V MOTOR MWM X10 6CIL 0004347;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE130805.1;907120120014E;;;;;MWM1;11;558,3833;6142,2163;558,3833;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;43,39;Valor;36377;SUP BRACAD FILTRO COMB S10BLZ/TROLLER 0036377;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS10860.0;940706230015E;;;Não Atualiza Preço na Entrada;;MWM1;1;10,07;10,07;10,07;;
7;SA;;;;;;48121;SUPORTE CABO ACELERADOR 0048121;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS15144.0;940706320014E;;;;;MWM1;1;3,21;3,21;3,21;;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;227,96;Valor;59252;SUPORTE ALAVANCA POLIA MOTOR 0059252;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0903139.2;940806400024E;;;;;;3;100,495;301,485;100,495;;
7;SA;;;;;;55962;SUPORTE ALTERNADOR 0055962;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2TB903141C.0;;;;;;;2;29,745;59,49;29,745;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;328,37;Valor;3384;SENSOR OLEO 0003384;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2U2919081.0;1839415C91E;;;Não Atualiza Preço na Entrada;;MWM3;4;160,68;642,72;160,68;9,25;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;697,99;Valor;75953;SENSOR PRESSAO COMBUSTIVEL 0075953;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;07W130758D.1;961287670034E;;;;;;2;369,67;739,34;369,67;9,25;
7;SA;7001;SALVADOR-BA-BASE;05/06/2021;301,09;Valor;76754;SENSOR ROTACAO MOTOR MWM ACTEON SPRINT / X12TCE 0076754;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0906433D.2;961200670014E;;;;;;18;149,5501;2691,9018;149,4536;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;517,01;Valor;1438;SENSOR TEMPERATURA PRESSAO MOTOR ACTEON X12TCE 0001438;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0906051B.0;961200690104E;;;Não Atualiza Preço na Entrada;;MWM1;18;258,6966;4656,5388;256,048;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;644,44;Valor;2139;SENSOR ROTACAO MOTOR MWM X12TCE 0002139;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;020743449.0;7004042C1E;;;Não Atualiza Preço na Entrada;;MWM1;3;320,2616;960,7848;320,2616;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;31,33;Valor;3592;SENSOR PRESSAO OLEO MOTOR MWM SPRINT 0003592;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS15065.0;7005207C1E;;;Não Atualiza Preço na Entrada;;MWM1;4;16,936;67,744;16,936;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;436,36;Valor;3708;SENSOR ROTACAO MOTOR 4.08 ELETRONICO 0003708;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0133491.0;940700670074E;;;Não Atualiza Preço na Entrada;;MWM1;1;210,09;210,09;210,09;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;60,86;Valor;241;SENSOR TEMPERATURA S10/BLAZER/TROLLER 0000241;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS10555.0;905695090016E;;;Não Atualiza Preço na Entrada;;MWM1;3;30,3967;91,1901;30,3967;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;47,59;Valor;4182;SENSOR PRESSAO OLEO MOTOR MWM 4.08TCE / X12TCE 0004182;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2S0906051A.0;7005208C1E;;;Não Atualiza Preço na Entrada;;MWM1;13;25,4844;331,2972;25,4384;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;819,56;Valor;15156;SILENCIOSO D225/229/6 GRUPO GERADOR 0015156;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS10518.0;900009320064E;;;Não Atualiza Preço na Entrada;;MWM1;1;397,38;397,38;397,38;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;38,02;Valor;3264;SENSOR PRESSAO OLEO 0003264;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS90132.1;7005209C1E;;;Não Atualiza Preço na Entrada;;MWM1;32;20,335;650,72;20,335;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;639,72;Valor;2309;SENSOR PRESSAO TUBO DISTRIBICAO SPRINT / X12TCE 0002309;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0919081F.1;906915100002E;;;Não Atualiza Preço na Entrada;;MWM1;33;288,4001;9517,2033;288,4001;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;576,56;Valor;3782;SENSOR TEMPERATURA GASES ESCAPE 0003782;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS12533.0;7001783C1E;;;Não Atualiza Preço na Entrada;;MWM1;1;205,05;205,05;205,05;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;183,27;Valor;1439;SENSOR TEMPERATURA MOTOR MWM SPRINT / X12TCE 0001439;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0919501B.0;961200690034E;;;Não Atualiza Preço na Entrada;;MWM1;15;91,4357;1371,5355;91,4357;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;223,7;Valor;744;SENSOR TEMPERATURA MOTOR MWM X10/X12 D/TD229 0000744;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T11963107A.3;961200690064E;;;Não Atualiza Preço na Entrada;;MWM1;4;113,302;453,208;113,302;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;412,91;Valor;2219;SENSOR TEMPERATURA PRESSAO AR MOTOR MWM  SPRINT 0002219;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0906051.2;940700690024E;;;;;MWM1;2;202,1946;404,3892;202,1946;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;227,44;Valor;2809;SENSOR TEMPERATURA PRESSAO AR 0002809;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0906051C.0;961200690074E;;;;;MWM1;12;112,3312;1347,9744;112,3312;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;20,03;Valor;1799;TAMPA ENCHIMENTO C/ ENEL VEDACAO MOTOR MWM D/TD229 0001799;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T11103653.0;922980120047;;;Não Atualiza Preço na Entrada;;MWM1;2;9,93;19,86;9,93;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;50,15;Valor;2518;TAMPA ENCHIMENTO OLEO MOTOR MWM SPRINT 0002518;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS15107.0;940703520034E;;;Não Atualiza Preço na Entrada;;MWM1;6;19,3458;116,0748;19,3458;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;6,8;Valor;2128;TAMPA PROTECAO CONECTOR ECM 0002128;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS12522.0;961204710024E;;;Não Atualiza Preço na Entrada;;MWM1;12;2,0017;24,0204;2,0017;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;6,69;Valor;3974;TAMPAO 0003974;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE109255.0;961003270044E;;;Não Atualiza Preço na Entrada;;MWM1;58;;22,62;;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;10,75;Valor;3122;TAMPAO 13/15-180 00/ 0003122;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RD103215.0;906702400101E;;;Não Atualiza Preço na Entrada;;MWM1;9;1,23;11,07;1,23;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;85,67;Valor;31376;TAMPA FILTRO DE OLEO LUBRIF RANGER/TROLLER 3.0 0031376;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS19107.0;70240501;;;Não Atualiza Preço na Entrada;;MWM1;1;37,83;37,83;37,83;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;91,11;Valor;4110;TAMPA VALVULA MOTOR MWM D/TD229 P/JUNTA CORTICA 0004110;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T11103475.0;922907960014E;;;Não Atualiza Preço na Entrada;;MWM1;11;27,9479;307,4269;27,9479;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;61,83;Valor;2262;TAMPA VALVULA MOTOR MWM X10/ X12 0002262;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE103475.0;961007960024E;;;Não Atualiza Preço na Entrada;;MWM1;6;27,7859;166,7154;27,7859;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;425;Valor;9544;TAMPA FILTRO OLEO LUBRIFICANTE 0009544;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS12523.0;961207870096E;;;Não Atualiza Preço na Entrada;;MWM1;1;182,1725;182,1725;182,1725;9,25;
